slug,title,station,grouped,multi_group,source_surfaces,mode,raw_group_count,raw_sections,raw_kinds,detected_by_current,current_group_count,current_group_kinds,missed_by_current,program_url,sample_labels,fetch_error
frankensteinserial,Frankenstein serial,radio3,False,False,tab_menu,flat,0,,,False,0,,False,https://www.raiplaysound.it/programmi/frankensteinserial,,
freeasabird-storiadijohnlennon,Free as a Bird - Storia di John Lennon,radio2,False,False,tab_menu,flat,0,,,False,0,,False,https://www.raiplaysound.it/programmi/freeasabird-storiadijohnlennon,,
freestateofjones,Free State of Jones,,False,False,tab_menu,flat,0,,,False,0,,False,https://www.raiplaysound.it/programmi/freestateofjones,,
friulincomun,Friûl in Comun,,False,False,tab_menu,flat,0,,,False,0,,False,https://www.raiplaysound.it/programmi/friulincomun,,
fruttaaportatadimano,Frutta a portata di mano,,False,False,tab_menu,flat,0,,,False,0,,False,https://www.raiplaysound.it/programmi/fruttaaportatadimano,,
fuedduafacimanna,Fueddu a faci manna,,False,False,tab_menu,flat,0,,,False,0,,False,https://www.raiplaysound.it/programmi/fuedduafacimanna,,
fueddudemaistu,Fueddu de maistu,,True,False,filters|tab_menu,group,1,episodi,group,True,1,group,False,https://www.raiplaysound.it/programmi/fueddudemaistu,Fueddu de Maistu II,
fugadallinfernoucrainaventiventidue,Fuga dall’inferno. Ucraina ventiventidue,,False,False,tab_menu,flat,0,,,False,0,,False,https://www.raiplaysound.it/programmi/fugadallinfernoucrainaventiventidue,,
fuoridalcomune,Fuori dal Comune,grparlamento,False,False,tab_menu,flat,0,,,False,0,,False,https://www.raiplaysound.it/programmi/fuoridalcomune,,
fuoridalgiro,Fuori dal Giro,radio1,False,False,tab_menu,flat,0,,,False,0,,False,https://www.raiplaysound.it/programmi/fuoridalgiro,,
fuoridaltempo,Fuori dal tempo,,False,False,tab_menu,flat,0,,,False,0,,False,https://www.raiplaysound.it/programmi/fuoridaltempo,,
futuradio-lafestadirairadio3abolzano,Futuradio - La festa di Rai Radio 3 a Bolzano,radio3,True,True,filters|tab_menu,group,3,futuradio,group,True,3,group,False,https://www.raiplaysound.it/programmi/futuradio-lafestadirairadio3abolzano,Futuradio 2025 | Futuradio 2024 | Futuradio 2023,
gabriella,Gabriella,,False,False,tab_menu,flat,0,,,False,0,,False,https://www.raiplaysound.it/programmi/gabriella,,
galadelbelcanto-omaggioalmelodrammadibelliniedonizetti,Gala del Belcanto - Omaggio al melodramma di Bellini e Donizetti,,False,False,tab_menu,flat,0,,,False,0,,False,https://www.raiplaysound.it/programmi/galadelbelcanto-omaggioalmelodrammadibelliniedonizetti,,
gassmanraccontaifratellicervi,Gassman racconta i fratelli Cervi,,False,False,tab_menu,flat,0,,,False,0,,False,https://www.raiplaysound.it/programmi/gassmanraccontaifratellicervi,,
generazionequantum,Generazione Quantum,,False,False,tab_menu,flat,0,,,False,0,,False,https://www.raiplaysound.it/programmi/generazionequantum,,
generazioneradio2,Generazione Radio2,radio2,False,False,tab_menu,flat,0,,,False,0,,False,https://www.raiplaysound.it/programmi/generazioneradio2,,
genitorichefare,"Genitori, che fare?",,True,True,filters|tab_menu,seasonal,3,puntate,season,True,3,season,False,https://www.raiplaysound.it/programmi/genitorichefare,Stagione 3 | Stagione 2 | Stagione 1,
genitoriquasiperfetti,Genitori quasi perfetti,,False,False,tab_menu,flat,0,,,False,0,,False,https://www.raiplaysound.it/programmi/genitoriquasiperfetti,,
genovamemoriaefuturo,Genova: memoria e futuro,,False,False,tab_menu,flat,0,,,False,0,,False,https://www.raiplaysound.it/programmi/genovamemoriaefuturo,,
genovapertutti,Genova per tutti,,False,False,tab_menu,flat,0,,,False,0,,False,https://www.raiplaysound.it/programmi/genovapertutti,,
gentediprocida,Gente di Procida,,True,True,filters|tab_menu,seasonal,2,episodi,season,True,2,season,False,https://www.raiplaysound.it/programmi/gentediprocida,2 Stagione | 1 Stagione,
